# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,9.681225419044494629e-01,7.358292490243911743e-02,2.794064581394195557e-01,9.688203334808349609e-01,1.320060491561889648e+00,9.676300883293151855e-01
4.000000000000000000e+01,2.764306366443634033e-01,6.601887196302413940e-02,1.793565899133682251e-01,3.423639833927154541e-01,1.228452324867248535e+00,6.577319502830505371e-01
4.000000000000000000e+01,2.063857167959213257e-01,5.981638282537460327e-02,9.486079961061477661e-02,2.570049166679382324e-01,1.050841808319091797e+00,3.680994808673858643e-01
4.000000000000000000e+01,1.301698088645935059e-01,4.796812310814857483e-02,4.736291617155075073e-02,1.488590538501739502e-01,8.461946845054626465e-01,1.874977648258209229e-01
4.000000000000000000e+01,9.930664300918579102e-02,3.733587637543678284e-02,3.965018689632415771e-02,1.079964786767959595e-01,6.576629281044006348e-01,1.556794047355651855e-01
4.000000000000000000e+01,1.084743067622184753e-01,2.960545010864734650e-02,3.503980860114097595e-02,1.128388941287994385e-01,5.389646291732788086e-01,1.445418745279312134e-01
4.000000000000000000e+01,1.037290543317794800e-01,2.305122464895248413e-02,3.056307695806026459e-02,1.098073571920394897e-01,4.283389151096343994e-01,1.234996914863586426e-01
4.000000000000000000e+01,1.488181650638580322e-01,3.474121168255805969e-02,3.469189628958702087e-02,1.539986133575439453e-01,6.137237548828125000e-01,1.323070973157882690e-01
4.000000000000000000e+01,1.188958585262298584e-01,2.232045307755470276e-02,2.185960300266742706e-02,1.269441694021224976e-01,3.968344330787658691e-01,8.946377784013748169e-02
4.000000000000000000e+01,1.205327138304710388e-01,1.866559125483036041e-02,2.661357447504997253e-02,1.300020366907119751e-01,3.485906720161437988e-01,1.084318906068801880e-01
4.000000000000000000e+01,1.312255710363388062e-01,1.768022961914539337e-02,3.124426864087581635e-02,1.402111053466796875e-01,3.202323913574218750e-01,1.151693388819694519e-01
4.000000000000000000e+01,9.884950518608093262e-02,1.836757734417915344e-02,1.975480653345584869e-02,1.029332652688026428e-01,3.359067738056182861e-01,8.178063482046127319e-02
4.000000000000000000e+01,1.016578897833824158e-01,1.530683599412441254e-02,2.347162179648876190e-02,1.055887639522552490e-01,2.888727486133575439e-01,9.785135090351104736e-02
4.000000000000000000e+01,9.662392735481262207e-02,2.575297281146049500e-02,3.529457375407218933e-02,1.054202318191528320e-01,4.759932160377502441e-01,1.269410699605941772e-01
4.000000000000000000e+01,8.809474855661392212e-02,1.694330573081970215e-02,2.010043710470199585e-02,9.309885650873184204e-02,3.337474167346954346e-01,7.367099076509475708e-02
4.000000000000000000e+01,8.860263973474502563e-02,1.488076616078615189e-02,2.016668766736984253e-02,9.395294636487960815e-02,2.916388213634490967e-01,7.181378453969955444e-02
4.000000000000000000e+01,8.765920251607894897e-02,1.401755679398775101e-02,2.534800954163074493e-02,9.275313466787338257e-02,2.752071022987365723e-01,8.899350464344024658e-02
4.000000000000000000e+01,1.135673075914382935e-01,1.571476832032203674e-02,2.475059963762760162e-02,1.192697361111640930e-01,3.146742582321166992e-01,9.027276933193206787e-02
4.000000000000000000e+01,9.714997559785842896e-02,1.302393060177564621e-02,2.157757245004177094e-02,1.025119945406913757e-01,2.557134628295898438e-01,7.716065645217895508e-02
4.000000000000000000e+01,1.038777604699134827e-01,1.050454843789339066e-02,2.628887258470058441e-02,1.088230758905410767e-01,2.097089886665344238e-01,9.275371581315994263e-02
4.000000000000000000e+01,1.097193583846092224e-01,1.486064307391643524e-02,1.441708859056234360e-02,1.158379018306732178e-01,2.740810215473175049e-01,5.432433634996414185e-02
4.000000000000000000e+01,1.064451634883880615e-01,1.249162573367357254e-02,2.103178016841411591e-02,1.122476309537887573e-01,2.435419261455535889e-01,7.490414381027221680e-02
4.000000000000000000e+01,9.345552325248718262e-02,1.051492895931005478e-02,1.972938515245914459e-02,9.800405800342559814e-02,2.098485678434371948e-01,7.049947232007980347e-02
4.000000000000000000e+01,1.099012121558189392e-01,1.278076507151126862e-02,1.765785552561283112e-02,1.156161054968833923e-01,2.333012670278549194e-01,6.677561998367309570e-02
4.000000000000000000e+01,1.138852164149284363e-01,1.306616701185703278e-02,3.972146660089492798e-02,1.168275624513626099e-01,2.568691968917846680e-01,1.351258307695388794e-01
4.000000000000000000e+01,9.904119372367858887e-02,1.023967377841472626e-02,1.880592666566371918e-02,1.030545905232429504e-01,1.953858882188796997e-01,6.694693863391876221e-02
