# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,1.008223056793212891e+00,6.534539163112640381e-02,2.835097312927246094e-01,1.005383372306823730e+00,1.043850541114807129e+00,1.065272927284240723e+00
4.000000000000000000e+01,4.602737724781036377e-01,6.373943388462066650e-02,6.755945831537246704e-02,5.149293541908264160e-01,1.020313858985900879e+00,2.528877258300781250e-01
4.000000000000000000e+01,4.331818819046020508e-01,6.430181115865707397e-02,1.089491844177246094e-01,4.706144630908966064e-01,1.041939854621887207e+00,3.993223905563354492e-01
4.000000000000000000e+01,9.435784816741943359e-02,4.345471411943435669e-02,4.577801004052162170e-02,1.118414178490638733e-01,7.598595619201660156e-01,1.716476678848266602e-01
4.000000000000000000e+01,5.439335480332374573e-02,3.966319933533668518e-02,5.391572788357734680e-02,6.406959891319274902e-02,6.714671254158020020e-01,2.035396099090576172e-01
4.000000000000000000e+01,6.765749305486679077e-02,3.211098164319992065e-02,4.763680323958396912e-02,7.585608214139938354e-02,5.636789798736572266e-01,1.739389449357986450e-01
4.000000000000000000e+01,3.906583413481712341e-02,2.355562709271907806e-02,3.664116188883781433e-02,4.403947666287422180e-02,4.349983930587768555e-01,1.341277658939361572e-01
4.000000000000000000e+01,2.928268350660800934e-02,2.185226045548915863e-02,2.053130231797695160e-02,3.397834673523902893e-02,3.861359357833862305e-01,8.161114901304244995e-02
4.000000000000000000e+01,2.664008177816867828e-02,1.751345396041870117e-02,3.269546478986740112e-02,3.076412715017795563e-02,3.364487588405609131e-01,1.177782043814659119e-01
4.000000000000000000e+01,3.495098277926445007e-02,1.730358600616455078e-02,2.787279710173606873e-02,3.895511478185653687e-02,3.171054124832153320e-01,1.039174199104309082e-01
4.000000000000000000e+01,3.008804842829704285e-02,1.844731345772743225e-02,3.094444610178470612e-02,3.206663951277732849e-02,3.337484300136566162e-01,1.137080714106559753e-01
4.000000000000000000e+01,2.085858024656772614e-02,1.604148931801319122e-02,2.408039756119251251e-02,2.315807342529296875e-02,2.948798835277557373e-01,8.612338453531265259e-02
4.000000000000000000e+01,3.072710521519184113e-02,1.908445172011852264e-02,3.027749061584472656e-02,3.363811969757080078e-02,3.464410305023193359e-01,1.109820306301116943e-01
4.000000000000000000e+01,2.566465362906455994e-02,1.697491668164730072e-02,2.720624953508377075e-02,2.923390641808509827e-02,3.114658892154693604e-01,9.829609096050262451e-02
4.000000000000000000e+01,2.024061419069766998e-02,1.302231475710868835e-02,1.223139464855194092e-02,2.160036377608776093e-02,2.411762326955795288e-01,4.888518899679183960e-02
4.000000000000000000e+01,2.329766564071178436e-02,1.208983175456523895e-02,1.585621573030948639e-02,2.599392831325531006e-02,2.327024340629577637e-01,6.118023768067359924e-02
4.000000000000000000e+01,1.729241013526916504e-02,1.590893603861331940e-02,1.221348438411951065e-02,1.961765065789222717e-02,2.811513543128967285e-01,4.768880829215049744e-02
4.000000000000000000e+01,3.083016909658908844e-02,1.334991119801998138e-02,1.041167974472045898e-02,3.501055017113685608e-02,2.517301738262176514e-01,4.064561426639556885e-02
4.000000000000000000e+01,2.589678391814231873e-02,2.117865905165672302e-02,8.741452358663082123e-03,3.144244849681854248e-02,3.555748164653778076e-01,3.563733026385307312e-02
4.000000000000000000e+01,2.224203757941722870e-02,1.439044624567031860e-02,1.248992048203945160e-02,2.471981011331081390e-02,2.618491351604461670e-01,4.913461208343505859e-02
4.000000000000000000e+01,1.373287849128246307e-02,1.096651609987020493e-02,8.165529929101467133e-03,1.607364229857921600e-02,2.018541246652603149e-01,3.435368835926055908e-02
4.000000000000000000e+01,1.483425032347440720e-02,1.082512084394693375e-02,1.286897622048854828e-02,1.660019904375076294e-02,2.038232535123825073e-01,4.935817793011665344e-02
4.000000000000000000e+01,2.636364102363586426e-02,1.051805727183818817e-02,1.612140238285064697e-02,2.724163420498371124e-02,2.025269269943237305e-01,6.873875111341476440e-02
4.000000000000000000e+01,1.945924013853073120e-02,1.037171017378568649e-02,2.270804531872272491e-02,2.070049196481704712e-02,1.930472850799560547e-01,8.044341206550598145e-02
4.000000000000000000e+01,4.696400091052055359e-02,1.474042050540447235e-02,1.659499481320381165e-02,4.681624472141265869e-02,2.487093657255172729e-01,6.562125682830810547e-02
4.000000000000000000e+01,3.907964006066322327e-02,1.211186219006776810e-02,9.869040921330451965e-03,4.177945479750633240e-02,2.175876051187515259e-01,3.897090256214141846e-02
