Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,2.263159006834030151e-01,8.855476230382919312e-02,9.032604098320007324e-02,2.628242671489715576e-01,8.157668113708496094e-01,2.438718825578689575e-01
2.000000000000000000e+00,2.085318118333816528e-01,8.297418057918548584e-02,8.986625075340270996e-02,2.378181517124176025e-01,7.848922610282897949e-01,2.415687143802642822e-01
3.000000000000000000e+00,1.975532621145248413e-01,7.814114540815353394e-02,8.901455998420715332e-02,2.221113592386245728e-01,7.577637434005737305e-01,2.385390549898147583e-01
4.000000000000000000e+00,1.886188536882400513e-01,7.365576177835464478e-02,8.779452741146087646e-02,2.099122107028961182e-01,7.319965958595275879e-01,2.347701489925384521e-01
5.000000000000000000e+00,1.804011464118957520e-01,6.941857188940048218e-02,8.625914901494979858e-02,1.993110924959182739e-01,7.068393230438232422e-01,2.303772121667861938e-01
6.000000000000000000e+00,1.724508553743362427e-01,6.540122628211975098e-02,8.445745706558227539e-02,1.895141750574111938e-01,6.820251941680908203e-01,2.254776209592819214e-01
7.000000000000000000e+00,1.645909696817398071e-01,6.159288808703422546e-02,8.243463933467864990e-02,1.801636517047882080e-01,6.574800014495849609e-01,2.201772481203079224e-01
8.000000000000000000e+00,1.567790508270263672e-01,5.799029394984245300e-02,8.023147284984588623e-02,1.710997968912124634e-01,6.332162022590637207e-01,2.145671248435974121e-01
9.000000000000000000e+00,1.490218341350555420e-01,5.459216237068176270e-02,7.788296043872833252e-02,1.622593700885772705e-01,6.092820763587951660e-01,2.087260782718658447e-01
1.000000000000000000e+01,1.413550078868865967e-01,5.139728263020515442e-02,7.542178034782409668e-02,1.536269485950469971e-01,5.857382416725158691e-01,2.027206569910049438e-01
1.100000000000000000e+01,1.338116675615310669e-01,4.840438067913055420e-02,7.287663966417312622e-02,1.452102810144424438e-01,5.626433491706848145e-01,1.966062784194946289e-01
1.200000000000000000e+01,1.264295279979705811e-01,4.561594873666763306e-02,7.027319073677062988e-02,1.370264142751693726e-01,5.400482416152954102e-01,1.904290020465850830e-01
1.300000000000000000e+01,1.192443147301673889e-01,4.301561787724494934e-02,6.763415783643722534e-02,1.290950775146484375e-01,5.179938077926635742e-01,1.842272132635116577e-01
1.400000000000000000e+01,1.122833713889122009e-01,4.057389125227928162e-02,6.498163193464279175e-02,1.214346066117286682e-01,4.965101480484008789e-01,1.780326068401336670e-01
1.500000000000000000e+01,1.055678725242614746e-01,3.827072679996490479e-02,6.233134120702743530e-02,1.140602156519889832e-01,4.756168723106384277e-01,1.718707233667373657e-01
1.600000000000000000e+01,9.911446273326873779e-02,3.609185293316841125e-02,5.969726666808128357e-02,1.069831848144531250e-01,4.553257822990417480e-01,1.657632291316986084e-01
1.700000000000000000e+01,9.293281286954879761e-02,3.402603417634963989e-02,5.709213390946388245e-02,1.002111062407493591e-01,4.356414377689361572e-01,1.597274392843246460e-01
1.800000000000000000e+01,8.702834695577621460e-02,3.206475079059600830e-02,5.452698841691017151e-02,9.374786913394927979e-02,4.165629148483276367e-01,1.537782698869705200e-01
1.900000000000000000e+01,8.140446245670318604e-02,3.020070493221282959e-02,5.201135948300361633e-02,8.759421110153198242e-02,3.980854451656341553e-01,1.479281038045883179e-01
2.000000000000000000e+01,7.606163620948791504e-02,2.842803671956062317e-02,4.955257102847099304e-02,8.174829930067062378e-02,3.802014887332916260e-01,1.421869993209838867e-01
2.100000000000000000e+01,7.099593430757522583e-02,2.674149163067340851e-02,4.715760052204132080e-02,7.620593905448913574e-02,3.629011809825897217e-01,1.365635842084884644e-01
2.200000000000000000e+01,6.620121747255325317e-02,2.513775974512100220e-02,4.483088850975036621e-02,7.096137851476669312e-02,3.461739718914031982e-01,1.310655772686004639e-01
2.300000000000000000e+01,6.167214363813400269e-02,2.361248061060905457e-02,4.257657378911972046e-02,6.600752472877502441e-02,3.300084173679351807e-01,1.256991922855377197e-01
2.400000000000000000e+01,5.740151181817054749e-02,2.216233126819133759e-02,4.039838910102844238e-02,6.133619695901870728e-02,3.143932819366455078e-01,1.204696968197822571e-01
2.500000000000000000e+01,5.337993800640106201e-02,2.078436128795146942e-02,3.829837962985038757e-02,5.693863704800605774e-02,2.993169426918029785e-01,1.153818964958190918e-01
2.600000000000000000e+01,4.959910735487937927e-02,1.947567984461784363e-02,3.627783432602882385e-02,5.280560627579689026e-02,2.847684025764465332e-01,1.104397177696228027e-01
2.700000000000000000e+01,4.604984819889068604e-02,1.823372766375541687e-02,3.433756530284881592e-02,4.892769083380699158e-02,2.707372307777404785e-01,1.056465581059455872e-01
