Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,1.057999357581138611e-01,1.002305373549461365e-01,1.213599741458892822e-01,1.395088881254196167e-01,9.275473356246948242e-01,3.215380012989044189e-01
2.000000000000000000e+00,1.098079085350036621e-01,9.306914359331130981e-02,1.206923797726631165e-01,1.335175782442092896e-01,8.908500075340270996e-01,3.195389211177825928e-01
3.000000000000000000e+00,1.132489740848541260e-01,8.775930106639862061e-02,1.195689588785171509e-01,1.323004961013793945e-01,8.629840612411499023e-01,3.159343898296356201e-01
4.000000000000000000e+00,1.149410307407379150e-01,8.314424008131027222e-02,1.180955842137336731e-01,1.315307468175888062e-01,8.382325172424316406e-01,3.114052712917327881e-01
5.000000000000000000e+00,1.151911169290542603e-01,7.889727503061294556e-02,1.163244619965553284e-01,1.302817165851593018e-01,8.148131966590881348e-01,3.062293529510498047e-01
6.000000000000000000e+00,1.142980828881263733e-01,7.489164173603057861e-02,1.142937466502189636e-01,1.283653825521469116e-01,7.920032739639282227e-01,3.005661070346832275e-01
7.000000000000000000e+00,1.124890148639678955e-01,7.108663767576217651e-02,1.120360717177391052e-01,1.258068531751632690e-01,7.694861292839050293e-01,2.945264577865600586e-01
8.000000000000000000e+00,1.099912971258163452e-01,6.746032088994979858e-02,1.095789521932601929e-01,1.226974502205848694e-01,7.471317052841186523e-01,2.881932854652404785e-01
9.000000000000000000e+00,1.069685146212577820e-01,6.400328129529953003e-02,1.069492399692535400e-01,1.191450953483581543e-01,7.249012589454650879e-01,2.816345691680908203e-01
1.000000000000000000e+01,1.035450473427772522e-01,6.070632487535476685e-02,1.041723787784576416e-01,1.152555719017982483e-01,7.028024792671203613e-01,2.749046683311462402e-01
1.100000000000000000e+01,9.984127432107925415e-02,5.756027251482009888e-02,1.012721732258796692e-01,1.111253052949905396e-01,6.808650493621826172e-01,2.680481374263763428e-01
1.200000000000000000e+01,9.595285356044769287e-02,5.456119403243064880e-02,9.827153384685516357e-02,1.068385839462280273e-01,6.591265797615051270e-01,2.611016333103179932e-01
1.300000000000000000e+01,9.195283800363540649e-02,5.170292407274246216e-02,9.519191831350326538e-02,1.024675518274307251e-01,6.376264095306396484e-01,2.540957927703857422e-01
1.400000000000000000e+01,8.792067319154739380e-02,4.897907003760337830e-02,9.205435961484909058e-02,9.807249903678894043e-02,6.164009571075439453e-01,2.470561414957046509e-01
1.500000000000000000e+01,8.390301465988159180e-02,4.638427868485450745e-02,8.887819945812225342e-02,9.370311349630355835e-02,5.954825878143310547e-01,2.400034815073013306e-01
1.600000000000000000e+01,7.994360476732254028e-02,4.391158744692802429e-02,8.568000048398971558e-02,8.939944207668304443e-02,5.748997330665588379e-01,2.329560667276382446e-01
1.700000000000000000e+01,7.606413215398788452e-02,4.155491292476654053e-02,8.247539401054382324e-02,8.519367128610610962e-02,5.546762943267822266e-01,2.259292751550674438e-01
1.800000000000000000e+01,7.229422777891159058e-02,3.930835425853729248e-02,7.927867025136947632e-02,8.111073821783065796e-02,5.348320007324218750e-01,2.189364433288574219e-01
