# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,9.303093552589416504e-01,6.703495234251022339e-02,3.003306090831756592e-01,9.386214613914489746e-01,1.071764230728149414e+00,1.087141871452331543e+00
4.000000000000000000e+01,4.069695770740509033e-01,5.962363258004188538e-02,7.094281911849975586e-02,4.420882761478424072e-01,1.020170688629150391e+00,2.579844892024993896e-01
4.000000000000000000e+01,7.317338883876800537e-02,3.625026717782020569e-02,5.362100899219512939e-02,8.851873874664306641e-02,6.494562625885009766e-01,1.961875557899475098e-01
4.000000000000000000e+01,3.988354653120040894e-02,2.132386714220046997e-02,3.215913102030754089e-02,4.389157146215438843e-02,3.928541541099548340e-01,1.191929355263710022e-01
4.000000000000000000e+01,2.546511031687259674e-02,1.572942361235618591e-02,1.277833525091409683e-02,2.829249016940593719e-02,2.896960675716400146e-01,5.238093063235282898e-02
4.000000000000000000e+01,4.420690238475799561e-02,2.096112631261348724e-02,3.924092277884483337e-02,4.860714077949523926e-02,3.739737272262573242e-01,1.470887660980224609e-01
4.000000000000000000e+01,3.183790296316146851e-02,1.359190326184034348e-02,1.338153984397649765e-02,3.423466160893440247e-02,2.568242549896240234e-01,5.219971388578414917e-02
4.000000000000000000e+01,2.414169535040855408e-02,1.136850193142890930e-02,2.018063701689243317e-02,2.647779323160648346e-02,2.167714089155197144e-01,7.984520494937896729e-02
4.000000000000000000e+01,3.192570060491561890e-02,1.144150644540786743e-02,1.794949360191822052e-02,3.471666947007179260e-02,2.235591113567352295e-01,6.862970441579818726e-02
4.000000000000000000e+01,5.748176947236061096e-02,1.473918277770280838e-02,2.647142112255096436e-02,6.305584311485290527e-02,2.654278874397277832e-01,9.813408553600311279e-02
4.000000000000000000e+01,2.312595769762992859e-02,7.821996696293354034e-03,1.558099500834941864e-02,2.527178078889846802e-02,1.700436621904373169e-01,5.651580914855003357e-02
4.000000000000000000e+01,3.388812392950057983e-02,1.267645228654146194e-02,1.589723117649555206e-02,3.878675401210784912e-02,2.386917471885681152e-01,6.135633587837219238e-02
4.000000000000000000e+01,4.747317358851432800e-02,1.590333878993988037e-02,1.849120855331420898e-02,4.999713599681854248e-02,2.862428128719329834e-01,7.684365659952163696e-02
4.000000000000000000e+01,2.036226540803909302e-02,9.115372784435749054e-03,1.538356300443410873e-02,2.130396105349063873e-02,1.795233041048049927e-01,5.622160434722900391e-02
4.000000000000000000e+01,2.975757978856563568e-02,1.332781836390495300e-02,2.076549455523490906e-02,3.692857548594474792e-02,2.429436296224594116e-01,7.384857535362243652e-02
4.000000000000000000e+01,1.618307270109653473e-02,7.319232914596796036e-03,7.423140574246644974e-03,1.752528361976146698e-02,1.506668925285339355e-01,2.950687333941459656e-02
4.000000000000000000e+01,9.341710247099399567e-03,8.136448450386524200e-03,5.852952599525451660e-03,1.072456128895282745e-02,1.541592180728912354e-01,2.400501258671283722e-02
4.000000000000000000e+01,3.633545339107513428e-02,1.322762481868267059e-02,2.142127789556980133e-02,4.150382056832313538e-02,2.314428538084030151e-01,7.930689305067062378e-02
4.000000000000000000e+01,2.775665558874607086e-02,8.214948698878288269e-03,8.621933870017528534e-03,2.920770086348056793e-02,1.521349996328353882e-01,3.673216328024864197e-02
4.000000000000000000e+01,1.371138263493776321e-02,8.147030137479305267e-03,8.977192454040050507e-03,1.482315175235271454e-02,1.507667303085327148e-01,3.329485654830932617e-02
4.000000000000000000e+01,3.795650601387023926e-02,1.446368265897035599e-02,1.598849706351757050e-02,4.045261442661285400e-02,2.432931363582611084e-01,6.017922982573509216e-02
4.000000000000000000e+01,1.310715638101100922e-02,8.991166949272155762e-03,7.639741525053977966e-03,1.420606486499309540e-02,1.665589362382888794e-01,3.157645463943481445e-02
4.000000000000000000e+01,1.959135569632053375e-02,9.161494672298431396e-03,6.151059642434120178e-03,2.166776359081268311e-02,1.662962883710861206e-01,2.430807612836360931e-02
4.000000000000000000e+01,9.730714559555053711e-02,2.941014617681503296e-02,2.303595654666423798e-02,1.098633110523223877e-01,4.701932668685913086e-01,8.903766423463821411e-02
4.000000000000000000e+01,1.751095801591873169e-02,7.859713397920131683e-03,9.348911233246326447e-03,2.017828822135925293e-02,1.570265740156173706e-01,3.402138873934745789e-02
4.000000000000000000e+01,3.143814206123352051e-02,7.261353079229593277e-03,1.266065798699855804e-02,3.197072073817253113e-02,1.383170038461685181e-01,4.865619912743568420e-02
