# Re_ref,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
4.000000000000000000e+01,1.012919783592224121e+00,5.807765573263168335e-02,2.868738472461700439e-01,1.005488753318786621e+00,9.818300008773803711e-01,1.056804895401000977e+00
4.000000000000000000e+01,5.005015730857849121e-01,6.342766433954238892e-02,8.824625611305236816e-02,5.657435655593872070e-01,1.019667029380798340e+00,3.305162191390991211e-01
4.000000000000000000e+01,1.434254646301269531e-01,5.650926381349563599e-02,1.185019314289093018e-01,1.679234355688095093e-01,1.066945791244506836e+00,4.540162384510040283e-01
4.000000000000000000e+01,6.128853186964988708e-02,3.439485654234886169e-02,5.568012222647666931e-02,6.831733882427215576e-02,5.854228734970092773e-01,2.049625217914581299e-01
4.000000000000000000e+01,4.813708737492561340e-02,3.314691781997680664e-02,3.833857551217079163e-02,5.315280705690383911e-02,5.654170513153076172e-01,1.430703997611999512e-01
4.000000000000000000e+01,5.738404020667076111e-02,4.463035240769386292e-02,8.460051566362380981e-02,6.541021913290023804e-02,7.276185154914855957e-01,2.932578027248382568e-01
4.000000000000000000e+01,6.036317721009254456e-02,2.848659642040729523e-02,4.635280370712280273e-02,6.391729414463043213e-02,4.952135384082794189e-01,1.670848280191421509e-01
4.000000000000000000e+01,3.051190450787544250e-02,2.061295695602893829e-02,3.965244069695472717e-02,3.412667289376258850e-02,3.753509223461151123e-01,1.454181969165802002e-01
4.000000000000000000e+01,7.104090601205825806e-02,1.993492990732192993e-02,4.494801908731460571e-02,7.802846282720565796e-02,3.684993684291839600e-01,1.596618145704269409e-01
4.000000000000000000e+01,3.458696231245994568e-02,1.781419292092323303e-02,2.226247638463973999e-02,3.753176331520080566e-02,3.369131386280059814e-01,9.240794181823730469e-02
4.000000000000000000e+01,4.266475141048431396e-02,2.089004963636398315e-02,2.698231488466262817e-02,4.581138864159584045e-02,3.746097683906555176e-01,1.003424599766731262e-01
4.000000000000000000e+01,3.155101090669631958e-02,1.486618164926767349e-02,2.377077937126159668e-02,3.553045913577079773e-02,2.822178602218627930e-01,9.162493795156478882e-02
4.000000000000000000e+01,1.081507802009582520e-01,3.518633916974067688e-02,9.154879301786422729e-02,1.160381436347961426e-01,6.301081180572509766e-01,3.181208074092864990e-01
4.000000000000000000e+01,2.797293104231357574e-02,1.503789238631725311e-02,1.715527661144733429e-02,3.237294405698776245e-02,2.796003818511962891e-01,6.804757565259933472e-02
4.000000000000000000e+01,2.570266090333461761e-02,1.387867424637079239e-02,2.565377205610275269e-02,3.002553805708885193e-02,2.722023129463195801e-01,9.562521427869796753e-02
4.000000000000000000e+01,3.219979256391525269e-02,1.549008302390575409e-02,4.276577755808830261e-02,3.423956781625747681e-02,2.930915057659149170e-01,1.516594886779785156e-01
4.000000000000000000e+01,2.639843150973320007e-02,1.261534169316291809e-02,1.804657839238643646e-02,2.824371494352817535e-02,2.585336863994598389e-01,6.923161447048187256e-02
4.000000000000000000e+01,7.110087573528289795e-02,2.690016478300094604e-02,3.471658751368522644e-02,7.621388882398605347e-02,4.383424520492553711e-01,1.276311725378036499e-01
4.000000000000000000e+01,5.219852179288864136e-02,2.061779424548149109e-02,3.957185894250869751e-02,5.555867031216621399e-02,3.594831526279449463e-01,1.479390561580657959e-01
4.000000000000000000e+01,1.996404491364955902e-02,1.333889737725257874e-02,2.108396403491497040e-02,2.182684279978275299e-02,2.499178498983383179e-01,7.880276441574096680e-02
4.000000000000000000e+01,2.483052387833595276e-02,1.290535554289817810e-02,1.706741936504840851e-02,2.710532024502754211e-02,2.501012682914733887e-01,6.797901540994644165e-02
4.000000000000000000e+01,1.935783401131629944e-02,1.234548445791006088e-02,1.683540083467960358e-02,2.107919380068778992e-02,2.302847206592559814e-01,6.396411359310150146e-02
4.000000000000000000e+01,3.316827118396759033e-02,1.730793155729770660e-02,1.011208631098270416e-02,3.555155545473098755e-02,2.969491779804229736e-01,4.032366722822189331e-02
4.000000000000000000e+01,4.742854833602905273e-02,1.419227011501789093e-02,2.500245347619056702e-02,5.310861021280288696e-02,2.485388368368148804e-01,9.745635837316513062e-02
4.000000000000000000e+01,4.262011870741844177e-02,1.204271521419286728e-02,1.955274119973182678e-02,4.856323078274726868e-02,2.224711179733276367e-01,7.131569832563400269e-02
4.000000000000000000e+01,4.085275158286094666e-02,2.007909677922725677e-02,3.131277486681938171e-02,4.845486208796501160e-02,3.416748046875000000e-01,1.099867373704910278e-01
