Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,1.249089464545249939e-01,8.775417506694793701e-02,1.511549502611160278e-01,1.444660127162933350e-01,8.365010023117065430e-01,3.591338098049163818e-01
2.000000000000000000e+00,1.268610507249832153e-01,8.257386833429336548e-02,1.414761543273925781e-01,1.458349525928497314e-01,8.081167340278625488e-01,3.411252796649932861e-01
3.000000000000000000e+00,1.270035803318023682e-01,7.803420722484588623e-02,1.343795955181121826e-01,1.454841047525405884e-01,7.833629846572875977e-01,3.275685012340545654e-01
4.000000000000000000e+00,1.258372813463211060e-01,7.374595850706100464e-02,1.283690929412841797e-01,1.437050253152847290e-01,7.596249580383300781e-01,3.157685995101928711e-01
5.000000000000000000e+00,1.236917972564697266e-01,6.961753964424133301e-02,1.229362785816192627e-01,1.408287435770034790e-01,7.361822128295898438e-01,3.048453032970428467e-01
6.000000000000000000e+00,1.207854971289634705e-01,6.564041227102279663e-02,1.178485825657844543e-01,1.371158510446548462e-01,7.128100395202636719e-01,2.944160699844360352e-01
7.000000000000000000e+00,1.172944083809852600e-01,6.182592734694480896e-02,1.129843592643737793e-01,1.327751129865646362e-01,6.894702911376953125e-01,2.842948138713836670e-01
8.000000000000000000e+00,1.133733019232749939e-01,5.817991495132446289e-02,1.082773804664611816e-01,1.279785484075546265e-01,6.662037372589111328e-01,2.743859291076660156e-01
9.000000000000000000e+00,1.091431006789207458e-01,5.470891669392585754e-02,1.036929190158843994e-01,1.228694245219230652e-01,6.430834531784057617e-01,2.646431624889373779e-01
1.000000000000000000e+01,1.047055646777153015e-01,5.141769349575042725e-02,9.920890629291534424e-02,1.175673678517341614e-01,6.201922893524169922e-01,2.550445795059204102e-01
1.100000000000000000e+01,1.001490354537963867e-01,4.830657318234443665e-02,9.481309354305267334e-02,1.121715977787971497e-01,5.976096391677856445e-01,2.455826550722122192e-01
1.200000000000000000e+01,9.555120766162872314e-02,4.537419974803924561e-02,9.050168842077255249e-02,1.067634150385856628e-01,5.754060149192810059e-01,2.362573593854904175e-01
