Re,l1_u,l1_v,l1_p,l2_u,l2_v,l2_p
1.000000000000000000e+00,2.898905873298645020e-01,8.383708447217941284e-02,1.918467879295349121e-01,3.265116512775421143e-01,8.067638874053955078e-01,4.472172558307647705e-01
2.000000000000000000e+00,2.798067331314086914e-01,8.019419014453887939e-02,1.882684379816055298e-01,3.152848780155181885e-01,7.919810414314270020e-01,4.401766061782836914e-01
3.000000000000000000e+00,2.701635360717773438e-01,7.659008353948593140e-02,1.845283806324005127e-01,3.043760061264038086e-01,7.762907147407531738e-01,4.328790307044982910e-01
4.000000000000000000e+00,2.605402171611785889e-01,7.306313514709472656e-02,1.806078553199768066e-01,2.934457957744598389e-01,7.598329186439514160e-01,4.252930283546447754e-01
5.000000000000000000e+00,2.508462667465209961e-01,6.965682655572891235e-02,1.765097975730895996e-01,2.824266254901885986e-01,7.427553534507751465e-01,4.174285531044006348e-01
6.000000000000000000e+00,2.410897016525268555e-01,6.638904660940170288e-02,1.722454726696014404e-01,2.713335156440734863e-01,7.252045869827270508e-01,4.093077480792999268e-01
7.000000000000000000e+00,2.313279062509536743e-01,6.328655779361724854e-02,1.678306162357330322e-01,2.602142393589019775e-01,7.073220610618591309e-01,4.009593129158020020e-01
8.000000000000000000e+00,2.215771526098251343e-01,6.036226078867912292e-02,1.632837206125259399e-01,2.491289228200912476e-01,6.892389655113220215e-01,3.924109041690826416e-01
9.000000000000000000e+00,2.118885815143585205e-01,5.761868134140968323e-02,1.586244702339172363e-01,2.381398081779479980e-01,6.710711717605590820e-01,3.836914002895355225e-01
1.000000000000000000e+01,2.023142278194427490e-01,5.504935979843139648e-02,1.538732200860977173e-01,2.273056507110595703e-01,6.529185771942138672e-01,3.748269975185394287e-01
1.100000000000000000e+01,1.929037868976593018e-01,5.264755710959434509e-02,1.490503698587417603e-01,2.166788280010223389e-01,6.348619461059570312e-01,3.658410608768463135e-01
1.200000000000000000e+01,1.837020516395568848e-01,5.038668960332870483e-02,1.441757827997207642e-01,2.063036859035491943e-01,6.169659495353698730e-01,3.567542731761932373e-01
1.300000000000000000e+01,1.747403442859649658e-01,4.821934551000595093e-02,1.392686963081359863e-01,1.962165981531143188e-01,5.992791056632995605e-01,3.475851714611053467e-01
1.400000000000000000e+01,1.660458296537399292e-01,4.614289104938507080e-02,1.343469470739364624e-01,1.864462047815322876e-01,5.818367004394531250e-01,3.383504152297973633e-01
1.500000000000000000e+01,1.576611846685409546e-01,4.415359348058700562e-02,1.294273287057876587e-01,1.770136952400207520e-01,5.646626353263854980e-01,3.290638625621795654e-01
1.600000000000000000e+01,1.495858728885650635e-01,4.224555194377899170e-02,1.245253533124923706e-01,1.679340600967407227e-01,5.477722883224487305e-01,3.197391927242279053e-01
1.700000000000000000e+01,1.418116390705108643e-01,4.041533544659614563e-02,1.196551620960235596e-01,1.592170745134353638e-01,5.311747789382934570e-01,3.103878498077392578e-01
1.800000000000000000e+01,1.343420892953872681e-01,3.865661844611167908e-02,1.148294657468795776e-01,1.508678346872329712e-01,5.148729681968688965e-01,3.010210692882537842e-01
1.900000000000000000e+01,1.271833926439285278e-01,3.696480020880699158e-02,1.100597009062767029e-01,1.428879350423812866e-01,4.988681674003601074e-01,2.916498482227325439e-01
2.000000000000000000e+01,1.203352808952331543e-01,3.533584624528884888e-02,1.053559109568595886e-01,1.352760493755340576e-01,4.831581115722656250e-01,2.822837233543395996e-01
2.100000000000000000e+01,1.138056516647338867e-01,3.376426547765731812e-02,1.007269620895385742e-01,1.280286014080047607e-01,4.677399694919586182e-01,2.729325592517852783e-01
2.200000000000000000e+01,1.075879037380218506e-01,3.224795311689376831e-02,9.618061780929565430e-02,1.211403459310531616e-01,4.526103436946868896e-01,2.636066675186157227e-01
2.300000000000000000e+01,1.016679480671882629e-01,3.078103251755237579e-02,9.172363579273223877e-02,1.146048530936241150e-01,4.377665221691131592e-01,2.543155550956726074e-01
2.400000000000000000e+01,9.603785723447799683e-02,2.936188876628875732e-02,8.736180514097213745e-02,1.084145978093147278e-01,4.232054948806762695e-01,2.450686246156692505e-01
2.500000000000000000e+01,9.069834649562835693e-02,2.799000218510627747e-02,8.310008794069290161e-02,1.025616526603698730e-01,4.089259505271911621e-01,2.358764111995697021e-01
2.600000000000000000e+01,8.564016222953796387e-02,2.666367776691913605e-02,7.894261181354522705e-02,9.703769534826278687e-02,3.949271142482757568e-01,2.267487794160842896e-01
2.700000000000000000e+01,8.085253834724426270e-02,2.538280934095382690e-02,7.489291578531265259e-02,9.183415770530700684e-02,3.812100589275360107e-01,2.176962047815322876e-01
2.800000000000000000e+01,7.633258402347564697e-02,2.414665371179580688e-02,7.095391303300857544e-02,8.694238215684890747e-02,3.677767813205718994e-01,2.087290883064270020e-01
2.900000000000000000e+01,7.207075506448745728e-02,2.295396290719509125e-02,6.712798029184341431e-02,8.235365152359008789e-02,3.546308875083923340e-01,1.998583674430847168e-01
3.000000000000000000e+01,6.806176900863647461e-02,2.180430106818675995e-02,6.341706961393356323e-02,7.805930823087692261e-02,3.417774438858032227e-01,1.910951137542724609e-01
3.100000000000000000e+01,6.430163979530334473e-02,2.069709450006484985e-02,5.982264503836631775e-02,7.405068725347518921e-02,3.292233645915985107e-01,1.824509054422378540e-01
3.200000000000000000e+01,6.077932566404342651e-02,1.963202655315399170e-02,5.634580180048942566e-02,7.031903415918350220e-02,3.169769048690795898e-01,1.739372462034225464e-01
3.300000000000000000e+01,5.749524384737014771e-02,1.860878244042396545e-02,5.298751220107078552e-02,6.685562431812286377e-02,3.050476908683776855e-01,1.655667573213577271e-01
