width,metric,n,mean_diff_van_minus_lpa,boot_ci95_lo,boot_ci95_hi,boot_includes_zero,t_ci95_lo,t_ci95_hi,t_includes_zero
8,sweep_median_l2_u,5,0.0304558187723159,0.0030014730989933,0.0679084094241261,False,-0.022130901421546535,0.0830425389661785,True
8,sweep_median_l2_v,5,0.2016661733388901,0.0773091658949852,0.3595135048031807,False,-0.025776259407096824,0.429108606084877,True
8,l2_u_ref,5,0.0165091704585809,-0.012051278070192,0.0495660535137984,True,-0.032321494085378676,0.06533983500254067,True
8,l2_v_ref,5,0.1503734596246054,0.0596663174675268,0.2589036551003399,False,-0.0074656980203830214,0.3082126172695938,True
16,sweep_median_l2_u,5,0.0038812603801488,-0.003251951187849,0.014003887400031,True,-0.010276008920894439,0.018038529681192215,True
16,sweep_median_l2_v,5,0.0421332821249961,-0.0731614619493484,0.1461626663804054,True,-0.1335534925290266,0.21782005677901894,True
16,l2_u_ref,5,-0.0109598291659767,-0.0391715843414733,0.0150326488928847,True,-0.0560368440871437,0.03411718575519028,True
16,l2_v_ref,5,0.0382804274229123,-0.0276748075853991,0.1042356624312239,True,-0.07079999387429885,0.14736084872012362,True
32,sweep_median_l2_u,5,-0.0024384887889027,-0.0120681293308734,0.0060086254030466,True,-0.017374160697877027,0.012497183120071509,True
32,sweep_median_l2_v,5,-0.004344530403614,-0.0934076845645904,0.105008028447628,True,-0.15920107705841832,0.15051201625119023,True
32,l2_u_ref,5,-0.0298521453420285,-0.0503045489907984,-0.0093997416932586,False,-0.062871956665117,0.003167665981059893,True
32,l2_v_ref,5,-0.0095427829458897,-0.0754143804659725,0.0483223995725518,True,-0.10720988347289306,0.08812431758111361,True
64,sweep_median_l2_u,5,-0.0077989613637328,-0.0223689736798405,0.00628577247262,True,-0.031234348895298924,0.015636426167833294,True
64,sweep_median_l2_v,5,0.121572345495224,-0.0215417057275772,0.2823598533868789,True,-0.11748095609181919,0.3606256470822672,True
64,l2_u_ref,5,-0.0348283922362639,-0.0706686724879154,0.0010118880153874,True,-0.09079239403164,0.021135609559112013,True
64,l2_v_ref,5,0.0675268067045874,0.0082803565184183,0.1390105118237696,False,-0.03891686465517731,0.17397047806435217,True
