variant,nh,nn,use_lpa,lpa_order,lpa_panels,lpa_softmax,latent_dim,head_width,domain,re_train,re_ref,n_int,n_b,epochs,lr,pde_weight,bc_weight,seed,trial,dtype,machine,tf,benchmark,key_id,n_params,time_train,l1_u_ref,l1_v_ref,l1_p_ref,l2_u_ref,l2_v_ref,l2_p_ref,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,final_loss
B,3,16,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,4691,516.780543088913,0.0192888006567955,0.009062073193490505,0.02214161492884159,0.02065277458469876,0.15585279192423432,0.07854915353372743,0.03451254963874817,0.21559014916419983,0.07153172045946121,0.01823466271162033,0.15750166773796082,0.03461267054080963,0.0006885859766043723
B,3,16,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,4691,522.7660937309265,0.03592515364289284,0.00733700767159462,0.014164214953780174,0.034298196928206036,0.13535650483497216,0.052382195728095486,0.03746543452143669,0.1750769466161728,0.052145328372716904,0.011723283678293228,0.1254531741142273,0.027954455465078354,0.00047967591672204435
B,3,16,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,4691,510.3336260318756,0.014161556959152222,0.006897293962538242,0.015368818305432796,0.016404414991797605,0.13203269081707383,0.05644209246907416,0.03551720455288887,0.17337773740291595,0.08435400575399399,0.013923833146691322,0.12289250642061234,0.05005141347646713,0.0010705585591495037
B,3,16,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,4691,504.5054142475128,0.10532286018133163,0.01824859157204628,0.049595195800065994,0.10635199572075521,0.31125017154576956,0.17037631486994934,0.139565110206604,0.42477947473526,0.15626156330108643,0.03668418154120445,0.3073490560054779,0.09345626831054688,0.0011344519443809986
B,3,16,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,4691,469.7835841178894,0.05178138613700867,0.015353255905210972,0.03663323447108269,0.056605503127334436,0.28585473152670443,0.12716527983551862,0.12406948953866959,0.5444096326828003,0.1506497859954834,0.04156727343797684,0.32771509885787964,0.07251175493001938,0.0035725575871765614
B,3,16,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,4435,374.3553059101105,0.02696305327117443,0.012615889310836792,0.037164658308029175,0.029109700787632455,0.23289818292972958,0.1315015597876815,0.04255243390798569,0.328612357378006,0.09615989774465561,0.022034989669919014,0.29532843828201294,0.049898527562618256,0.001297019887715578
B,3,16,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,4435,365.6081259250641,0.051798004657030106,0.016341853886842728,0.036174457520246506,0.061623821359538644,0.2871893927400419,0.13610577235691562,0.05565421283245087,0.3587833642959595,0.20196349918842316,0.03501660376787186,0.327643483877182,0.1911775767803192,0.004680709447711706
B,3,16,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,4435,357.14379596710205,0.01788126863539219,0.010590962134301662,0.02160695008933544,0.02000255818768875,0.1954544451520633,0.07540819989000445,0.02943735010921955,0.2355247437953949,0.09269804507493973,0.009012272581458092,0.1736716777086258,0.07016453891992569,0.001424297341145575
B,3,16,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,4435,348.8570029735565,0.036193374544382095,0.01382386777549982,0.021035373210906982,0.04185014248142608,0.2677240537413314,0.07725607100437559,0.046660859137773514,0.351360946893692,0.19773060083389282,0.03756924718618393,0.28897133469581604,0.16984011232852936,0.007050232030451298
B,3,16,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,4435,340.600460767746,0.023441020399332047,0.011400540359318256,0.02468610741198063,0.02692751670662259,0.22848295320015,0.09403256182293829,0.05122395604848862,0.23216620087623596,0.08508551120758057,0.03790642321109772,0.16596297919750214,0.06973288953304291,0.0032320450991392136
B,3,32,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,9955,687.4103109836578,0.07400606572628021,0.013038037344813347,0.04172559827566147,0.0791703063192913,0.26452745365840674,0.14527325066878813,0.1663953959941864,0.3623493015766144,0.20984381437301636,0.027168774977326393,0.23686574399471283,0.05539095029234886,0.0019754604436457157
B,3,32,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,9955,698.5853760242462,0.06670872122049332,0.014529597014188766,0.05677352473139763,0.07244232156522921,0.2982333647278599,0.19119794929731027,0.12053567916154861,0.3528265655040741,0.1871190071105957,0.02741985395550728,0.1847383975982666,0.07044694572687149,0.001451121992431581
B,3,32,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,9955,678.8104512691498,0.017011094838380814,0.007095370441675186,0.016068261116743088,0.017738338319794444,0.13166747466868706,0.057594823534282684,0.028891639783978462,0.15333062410354614,0.04755133390426636,0.011312299408018589,0.09255451709032059,0.02331298403441906,0.0003902527969330549
B,3,32,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,9955,686.8056890964508,0.08927519619464874,0.012918173335492611,0.009904990904033184,0.08587250257987737,0.2099273288532443,0.040414207050696004,0.06225317716598511,0.3319198489189148,0.07247569411993027,0.04762507602572441,0.31543460488319397,0.06066810339689255,0.004788064863532782
B,3,32,True,3.0,16.0,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,LPA_K3_N16,9955,614.6869530677795,0.015502133406698704,0.005979240406304598,0.019809359684586525,0.016521996761897847,0.12286074668001233,0.07002795683140448,0.035964593291282654,0.15757307410240173,0.06620385497808456,0.016413558274507523,0.09228571504354477,0.02345902845263481,0.0007045970996841788
B,3,32,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1234,0,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,9699,529.2662818431854,0.02606797218322754,0.011257992126047611,0.01971586048603058,0.02842416881490736,0.21709627061553552,0.0770984446059911,0.03688405081629753,0.2382306307554245,0.06999342143535614,0.02109297178685665,0.18846872448921204,0.03642356023192406,0.0014752910938113928
B,3,32,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1235,1,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,9699,520.0313770771027,0.0257821474224329,0.008467549458146095,0.013604415580630302,0.029667310515957532,0.1711299943852677,0.05037539600553941,0.04426195099949837,0.18256425857543945,0.06225575879216194,0.0376284159719944,0.12193392962217331,0.034838367253541946,0.0006699478253722191
B,3,32,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1236,2,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,9699,510.6389088630676,0.013861742801964283,0.009926416911184788,0.01938655786216259,0.015813687668148037,0.1833368664094721,0.07146569087115916,0.02636871673166752,0.3003465533256531,0.11092566698789597,0.016206886619329453,0.26847928762435913,0.07517918944358826,0.0011367390397936106
B,3,32,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1237,3,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,9699,505.8117640018463,0.02821807935833931,0.011867843568325043,0.025701278820633888,0.03224477313190113,0.2219566083025148,0.0917063430190855,0.03678295761346817,0.23988427221775055,0.0763496607542038,0.0265684574842453,0.16891837120056152,0.0404021255671978,0.0010468200780451298
B,3,32,False,,,False,64,16,"[0.0, 1.0, -0.5, 1.5]","[50.0, 100.0, 150.0]",40.0,10000,200,5000,0.002,0.1,1.0,1238,4,float32,arm64,2.10.0,kovasznay_pideeponet,VAN,9699,485.8588399887085,0.014282907359302044,0.010075794532895088,0.01584557257592678,0.016334798705033397,0.18598271414597156,0.06145839739470971,0.02673395909368992,0.21408595144748688,0.08386541903018951,0.016250386834144592,0.15235601365566254,0.06319290399551392,0.002468637190759182
