benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P,N_panel,dof
helmholtz2d,LPA,LPA_P1_N105,2,10,0,1234,1.0,105.0,,,0.01,200,40000,200,10000,256,,0.11797938127226583,0.2986468893379707,0.11797938127226583,0.29864688933797057,0.29864688933797057,56.50566482543945,4.09147310256958,142.99356174468994,10460,arm64,6.8683850108980105,5.063381016254425,39.32557678222656,184.4739392904693,118.30528926849365,1295.08056640625,127.77855505075715,92.41151905059814,981.1431274414062,3585.4540333129357,2409.682861328125,16272.765625,2859.802899676829,2079.1861572265625,13577.0986328125,,1,105,210
helmholtz2d,LPA,LPA_P1_N105,2,10,1,1235,1.0,105.0,,,0.01,200,40000,200,10000,256,,0.06203883241176052,0.15654299366120022,0.06203883241176052,0.1565429936611995,0.1565429936611995,7.4864277839660645,3.856137990951538,202.38334012031555,14481,arm64,2.5357730979066777,1.8375458419322968,22.557159423828125,65.755614066405,44.9606990814209,690.4223022460938,67.95608897881687,45.14049053192139,818.4269409179688,1695.3704794233029,1178.9530944824219,11096.8896484375,1793.5676649488305,1192.4712219238281,11111.2001953125,,1,105,210
helmholtz2d,LPA,LPA_P1_N105,2,10,2,1236,1.0,105.0,,,0.01,200,40000,200,10000,256,,0.11152227042825745,0.27144071971540484,0.11152227042825745,0.27144071971540423,0.27144071971540423,9.996065139770508,3.7582359313964844,96.93179488182068,7395,arm64,2.745962223902403,1.917281985282898,19.748048782348633,68.99989385182053,45.02624177932739,546.9668579101562,78.32207876749018,48.98671197891235,647.2019653320312,1798.7410614788332,1179.6952209472656,11957.546875,1920.071149397855,1236.5344543457031,12848.2255859375,,1,105,210
helmholtz2d,LPA,LPA_P1_N105,2,10,3,1237,1.0,105.0,,,0.01,200,40000,200,10000,256,,1.0467735798512037,2.5339360266252737,1.0467735798512037,2.5339360266252635,2.5339360266252635,204.93063354492188,3.731398820877075,78.83361601829529,6046,arm64,10.766677029922585,8.51578414440155,78.67864990234375,234.88571127950982,180.81112670898438,1643.970703125,235.7596339080733,179.4528408050537,1677.855712890625,5242.861885459124,4102.918975830078,28630.357421875,5211.728671947533,4067.7391967773438,31678.86328125,,1,105,210
helmholtz2d,LPA,LPA_P1_N105,2,10,4,1238,1.0,105.0,,,0.01,200,40000,200,10000,256,,0.12853339006562697,0.3273004707075285,0.12853339006562697,0.3273004707075284,0.3273004707075284,39.398250579833984,3.6252999305725098,91.19979596138,6924,arm64,5.270326456819947,3.976262390613556,33.805641174316406,138.0980575038191,95.30479621887207,1014.799072265625,125.37444453625083,84.7066478729248,1113.4437255859375,3136.5510517126927,2228.611358642578,19836.25,3474.8489715381875,2182.818359375,37432.0234375,,1,105,210
helmholtz2d,LPA,LPA_P2_N70,2,10,0,1234,2.0,70.0,,,0.01,200,40000,200,10000,221,,0.41938502150057605,1.0945701849213842,0.41938502150057605,1.0945701849213831,1.0945701849213831,55.36686706542969,3.613144874572754,110.55535316467285,6542,arm64,6.148661821434519,4.901564657688141,23.81190299987793,140.21778235750918,101.98992156982422,877.9798583984375,150.68405141092197,108.49150848388672,1425.4365234375,3476.2461614505955,2376.0975341796875,21297.166015625,4074.4158630409834,2780.6121215820312,35949.85546875,,2,70,210
helmholtz2d,LPA,LPA_P2_N70,2,10,1,1235,2.0,70.0,,,0.01,200,40000,200,10000,221,,0.11267590885094812,0.2776301523068256,0.11267590885094812,0.27763015230682475,0.27763015230682475,18.96212387084961,4.303514719009399,122.64450216293335,7155,arm64,4.061411682484538,3.0493040084838867,31.082630157470703,121.888966547492,75.57349395751953,1143.5545654296875,98.04158040983332,63.928215980529785,1018.7014770507812,3150.9565214391646,1875.794662475586,21120.498046875,2211.177288233578,1489.5631256103516,11270.296875,,2,70,210
helmholtz2d,LPA,LPA_P2_N70,2,10,2,1236,2.0,70.0,,,0.01,200,40000,200,10000,221,,0.057052530994998005,0.14586475802308024,0.057052530994998005,0.14586475802307955,0.14586475802307955,4.989135265350342,4.534734725952148,119.37841987609863,6951,arm64,1.9228022207242348,1.5132473707199097,8.492905616760254,49.62655445037677,36.80270481109619,360.7236328125,46.36254764985377,35.570897579193115,389.567138671875,1284.6947108165425,930.3245544433594,9898.4189453125,1270.8814178061618,932.1964569091797,12250.5703125,,2,70,210
helmholtz2d,LPA,LPA_P2_N70,2,10,3,1237,2.0,70.0,,,0.01,200,40000,200,10000,221,,0.06505557935625154,0.16706899256891916,0.06505557935625154,0.1670689925689189,0.1670689925689189,26.293882369995117,4.529310941696167,50.338873863220215,3051,arm64,4.528965525414436,3.2231638431549072,42.33921432495117,118.4508011165659,82.55539131164551,885.1213989257812,132.0859779325809,86.71513080596924,1345.8785400390625,2750.464767543842,2110.9566040039062,17074.255859375,3614.991796325408,2333.566925048828,42713.1015625,,2,70,210
helmholtz2d,LPA,LPA_P2_N70,2,10,4,1238,2.0,70.0,,,0.01,200,40000,200,10000,221,,0.0686940346913927,0.16959018376636867,0.0686940346913927,0.16959018376636803,0.16959018376636803,16.821521759033203,4.754617214202881,79.74427700042725,4701,arm64,3.854817931678773,3.0000438392162323,23.542814254760742,100.76526308519671,70.96176242828369,981.0855102539062,101.7367060644281,71.89045333862305,822.1570434570312,2347.154167816848,1685.7318267822266,17248.875,2405.0520264642923,1745.1683349609375,14343.0244140625,,2,70,210
