benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_0,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,L,domain,model
diffusion_reaction,FF,FF_s10,2,10,0,1234,,,10.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.4541289542719003,1.0017455573324103,18.91444206237793,4.972015142440796,75.28637313842773,3271,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,2,10,1,1235,,,10.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45365919362830043,1.0008495004118343,18.496511459350586,5.161976099014282,65.47158193588257,2843,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,2,10,2,1236,,,10.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45323440349384403,1.00016347283564,18.851295471191406,5.0603859424591064,43.73617887496948,1917,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,2,10,3,1237,,,10.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45382382269862837,1.0001353485530822,18.31581687927246,4.97835898399353,102.6238169670105,4372,arm64,,,FF_s10
diffusion_reaction,FF,FF_s10,2,10,4,1238,,,10.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45333929924498045,1.0003168506237785,18.600141525268555,5.214089870452881,106.51913094520569,4500,arm64,,,FF_s10
diffusion_reaction,FF,FF_s1,2,10,0,1234,,,1.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.39994775855107917,0.8165207568693271,7.0588884353637695,4.928864002227783,184.6504340171814,8131,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,2,10,1,1235,,,1.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.4100696562242242,0.9079346698852786,8.012666702270508,5.0593342781066895,197.12268114089966,8603,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,2,10,2,1236,,,1.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.4510857415519765,0.981005848388552,13.358391761779785,4.93193507194519,82.46250128746033,3709,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,2,10,3,1237,,,1.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.011110150036266695,0.029796850022579247,0.015146099962294102,4.923278093338013,229.74744701385498,9944,arm64,,,FF_s1
diffusion_reaction,FF,FF_s1,2,10,4,1238,,,1.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.3934318062833012,0.8610871592580616,2.2243731021881104,5.136541128158569,185.08002710342407,7966,arm64,,,FF_s1
diffusion_reaction,FF,FF_s5,2,10,0,1234,,,5.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45441353623908526,1.0015447191349645,18.255098342895508,4.944952964782715,104.75193285942078,4587,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,2,10,1,1235,,,5.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45380802862968384,1.0012015246917403,18.244741439819336,5.161410808563232,77.40570974349976,3382,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,2,10,2,1236,,,5.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.45333586319394753,1.0003123655175399,18.40859603881836,5.276879787445068,116.61982893943787,5070,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,2,10,3,1237,,,5.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.4539316714885489,1.0001400756305876,18.073543548583984,5.39686393737793,52.03276300430298,2246,arm64,,,FF_s5
diffusion_reaction,FF,FF_s5,2,10,4,1238,,,5.0,3.0,0.01,200,40000,200,200,10000,191,181.0,0.4534069487981367,1.0004209542335523,18.46385955810547,5.254947662353516,102.8962619304657,4365,arm64,,,FF_s5
diffusion_reaction,LPA,LPA_P3_N30,2,10,0,1234,3.0,30.0,,,0.01,200,40000,200,200,10000,181,,0.013603664521684251,0.03394464331664447,0.01718323491513729,5.598028659820557,52.97044086456299,2160,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,2,10,1,1235,3.0,30.0,,,0.01,200,40000,200,200,10000,181,,0.006559984260613325,0.01629929873728835,0.012091599404811859,5.588022947311401,79.29721307754517,3240,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,2,10,2,1236,3.0,30.0,,,0.01,200,40000,200,200,10000,181,,0.004846696992582075,0.011742563092779719,0.011216196231544018,5.823958873748779,63.30393195152283,2652,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,2,10,3,1237,3.0,30.0,,,0.01,200,40000,200,200,10000,181,,0.0080524889312458,0.01898606299795533,0.01450075302273035,5.6483049392700195,143.11989498138428,5794,arm64,,,LPA
diffusion_reaction,LPA,LPA_P3_N30,2,10,4,1238,3.0,30.0,,,0.01,200,40000,200,200,10000,181,,0.008665718216443467,0.01942249420227045,0.0131949158385396,5.712296009063721,102.70842289924622,4057,arm64,,,LPA
diffusion_reaction,R,R,2,10,0,1234,,,,,0.01,200,40000,200,200,10000,151,,0.009378938903843797,0.024837014446414625,0.03107535094022751,3.7290849685668945,67.66525292396545,4060,arm64,,,R
diffusion_reaction,R,R,2,10,1,1235,,,,,0.01,200,40000,200,200,10000,151,,0.006053854716922322,0.015239336122182798,0.00915476493537426,3.7743749618530273,96.74721693992615,5703,arm64,,,R
diffusion_reaction,R,R,2,10,2,1236,,,,,0.01,200,40000,200,200,10000,151,,0.00593508345249706,0.016537318951211563,0.01745433174073696,4.25145697593689,71.59508085250854,4159,arm64,,,R
diffusion_reaction,R,R,2,10,3,1237,,,,,0.01,200,40000,200,200,10000,151,,0.08695525907414432,0.2288061616658134,0.12223199009895325,3.863420009613037,38.24144005775452,2297,arm64,,,R
diffusion_reaction,R,R,2,10,4,1238,,,,,0.01,200,40000,200,200,10000,151,,0.008172407457801411,0.020679862415569395,0.017624448984861374,3.986961841583252,81.0119059085846,4655,arm64,,,R
