benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,model
helmholtz2d,FF,FF_s10,2,10,0,1234,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39739789770156814,1.000071911266456,0.39739789770156814,1.0000719112664507,1.0000719112664507,6223.88916015625,4.079047203063965,2.222844123840332,131,arm64,79.00474901049265,64.07139921188354,162.83285522460938,1117.5873637550667,907.2219009399414,3303.348388671875,1543.0289814193382,1234.6027526855469,5759.99609375,237183.9989206692,192864.791015625,942298.0,838199.0354563765,666581.421875,3024595.5,,FF_s10
helmholtz2d,FF,FF_s10,2,10,1,1235,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39768077340593944,1.0002839440931113,0.39768077340593944,1.0002839440931115,1.0002839440931115,6204.58251953125,4.084775924682617,58.44158315658569,3705,arm64,79.78550881577549,64.81196880340576,189.44085693359375,5711.837642125343,3970.7254638671875,38476.83984375,6101.416106118317,4238.264923095703,37303.88671875,4511898.550235366,2686471.90625,40808516.0,4906556.600272741,2972410.125,41509168.0,,FF_s10
helmholtz2d,FF,FF_s10,2,10,2,1236,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3975388412458617,1.000164734542204,0.3975388412458617,1.0001647345422,1.0001647345422,6034.328125,4.511985778808594,74.85193276405334,4670,arm64,79.78769130382048,64.87695550918579,173.6000213623047,5609.935004079815,4181.975036621094,29678.537109375,5174.498985409119,3946.6072692871094,26602.96484375,4178124.3244154425,3012496.9375,26904800.0,4032570.9289752115,3030641.90625,19170460.0,,FF_s10
helmholtz2d,FF,FF_s10,2,10,3,1237,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39734967426104595,1.0000334188364748,0.39734967426104595,1.0000334188364741,1.0000334188364741,6164.85009765625,4.019775867462158,61.914917945861816,3890,arm64,79.76099054546006,64.560622215271,191.2726287841797,3470.829781910948,2610.0557250976562,17238.703125,4425.196521059827,3246.31396484375,23420.486328125,1402499.0139604376,1011206.5546875,6953413.5,2163244.1633361685,1439938.8125,14386733.0,,FF_s10
helmholtz2d,FF,FF_s10,2,10,4,1238,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39716150827859437,1.0000001619663539,0.39716150827859437,1.0000001619663523,1.0000001619663523,6158.9677734375,3.8623199462890625,106.81622099876404,7124,arm64,80.2003179757909,65.10479354858398,201.2308349609375,6248.8064860419545,4570.076965332031,33083.33203125,7290.194956240883,5476.5045166015625,31662.140625,3912274.668934174,2760048.78125,23882472.0,5618415.640564874,3922496.46875,35115644.0,,FF_s10
helmholtz2d,FF,FF_s10,2,10,5,1239,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39733734472787163,1.0000418410664016,0.39733734472787163,1.0000418410663958,1.0000418410663958,6113.1259765625,3.9356601238250732,24.531553983688354,1723,arm64,80.02193035898912,65.00375509262085,184.65963745117188,5888.072541163195,4327.941650390625,27955.53125,4302.215403138248,3340.0472106933594,19413.96875,4692351.006628553,3307241.09375,25184418.0,2673545.789803496,2026339.90625,11203704.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s10
helmholtz2d,FF,FF_s10,2,10,6,1240,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3973141468689958,1.000031927573725,0.3973141468689958,1.0000319275737217,1.0000319275737217,5983.904296875,3.853444814682007,54.909818172454834,3791,arm64,79.38057082444081,64.36765575408936,178.71868896484375,3063.468846748731,2385.9617919921875,12017.9658203125,6971.385371646012,5179.895568847656,32258.822265625,1248503.798209681,906635.5859375,5060651.0,6085676.174162407,4195674.6875,40805196.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s10
helmholtz2d,FF,FF_s10,2,10,7,1241,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39733489538936484,1.0000444040946797,0.39733489538936484,1.0000444040946754,1.0000444040946754,6158.48681640625,3.8512439727783203,55.69875621795654,3729,arm64,80.30344899752711,65.170729637146,198.8218994140625,8213.118256788952,6216.420715332031,33841.94140625,5759.893054562732,4307.878967285156,32504.736328125,7618787.368650211,5459098.0,39742448.0,3967563.718983225,2731256.71875,25701676.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s10
helmholtz2d,FF,FF_s10,2,10,8,1242,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.3973520292192544,1.0000459491143319,0.3973520292192544,1.0000459491143299,1.0000459491143299,6079.5478515625,3.8827457427978516,50.4087438583374,3457,arm64,79.92557344204083,64.813307762146,184.05503845214844,4773.043263998347,3511.9630126953125,24937.70703125,6272.407990556737,4421.827728271484,46911.765625,3301110.9769554855,2245810.390625,16498024.0,5209326.079088542,3463867.84375,41505024.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s10
helmholtz2d,FF,FF_s10,2,10,9,1243,,,10.0,3.0,0.01,200,40000,200,10000,191,181.0,0.39731310773475553,1.0000323940273586,0.39731310773475553,1.0000323940273574,1.0000323940273574,6268.8037109375,3.7428219318389893,5.805365085601807,363,arm64,79.26719657051356,64.20953702926636,171.4751739501953,1295.579250277651,1044.5159378051758,4000.96533203125,4786.567820474291,3746.179931640625,19698.14453125,142873.84622806232,114688.4296875,511623.1875,3989894.995213784,3099380.9375,16189323.0,"[[0.0, 1.0], [0.0, 1.0]]",FF_s10
