model,l2_relative_u_mean,l2_relative_u_std,l2_relative_u_median,n_trials,N_r
R,0.002739657424516062,0.0007299887213710379,0.002482592633344054,5,5000
R,0.005147106180528929,0.002632229359448692,0.0049157536715445415,5,10000
FF_s1,0.3974303922293297,0.21725485562542873,0.4203535229108329,5,5000
FF_s1,0.38956316871322133,0.219732748057464,0.4472837345498519,5,10000
FF_s5,0.6491678466872404,0.020364005900540216,0.6369474216289709,5,5000
FF_s5,0.6491196795618064,0.020267447641899323,0.6369422351488402,5,10000
FF_s10,0.6503524837818481,0.01921521477021716,0.6384555003705155,5,5000
FF_s10,0.650372769021977,0.01926086193511525,0.6385031880062836,5,10000
LPA,0.0031237398298605253,0.0009586427899546795,0.003245321231087279,5,5000
LPA,0.0036722474793887973,0.002254892159451337,0.002617976908793094,5,10000
