benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,l1_absolute_u,l2_relative_u,l1_absolute_v,l2_relative_v,l1_absolute_p,l2_relative_p,model
kovasznay,FF,FF_s10,2,10,0,1234,,,10.0,3.0,0.01,200,40000,200,5000,213,203.0,3.3773531913757324,7.924635887145996,6.452958822250366,228,arm64,0.6164059841516013,0.6336795057270709,0.08291929940201666,1.000065040801715,0.31622513058192825,1.0276722891637322,FF_s10
kovasznay,FF,FF_s10,2,10,1,1235,,,10.0,3.0,0.01,200,40000,200,5000,213,203.0,3.4885973930358887,7.306591987609863,6.3163158893585205,233,arm64,0.6542805157596533,0.672430393115674,0.08292325899239954,1.000086623070086,0.3369824221159294,1.0801223618535396,FF_s10
kovasznay,FF,FF_s10,2,10,2,1236,,,10.0,3.0,0.01,200,40000,200,5000,213,203.0,3.327855110168457,7.65567684173584,7.868685722351074,275,arm64,0.6519561233596796,0.6701644998902558,0.08296644319421265,1.0005083016233507,0.3242899940524739,1.0469384628211882,FF_s10
kovasznay,FF,FF_s10,2,10,3,1237,,,10.0,3.0,0.01,200,40000,200,5000,213,203.0,3.2476961612701416,8.104850053787231,37.708956241607666,1372,arm64,0.6208833970873451,0.6384555003705155,0.0830373071570228,1.0019430412494654,0.3171486525089274,1.0298492649528692,FF_s10
kovasznay,FF,FF_s10,2,10,4,1238,,,10.0,3.0,0.01,200,40000,200,5000,213,203.0,3.621703863143921,6.420296907424927,5.997328996658325,234,arm64,0.6194926434483561,0.6370325198057243,0.08292405961241897,1.0000911404383919,0.32866043211763807,1.0579756011290005,FF_s10
kovasznay,FF,FF_s1,2,10,0,1234,,,1.0,3.0,0.01,200,40000,200,5000,213,203.0,2.1635427474975586,7.646871089935303,98.93547296524048,3539,arm64,0.3514638715817745,0.3506806942237198,0.10425097662146982,1.2655602232004775,0.32422961041186127,1.0557078490151146,FF_s1
kovasznay,FF,FF_s1,2,10,1,1235,,,1.0,3.0,0.01,200,40000,200,5000,213,203.0,2.1799745559692383,7.512723207473755,333.99051904678345,11583,arm64,0.5159802821565734,0.5246449178960834,0.08884060562363967,1.0971384016086412,0.28123184366275045,0.8893653468382405,FF_s1
kovasznay,FF,FF_s1,2,10,2,1236,,,1.0,3.0,0.01,200,40000,200,5000,213,203.0,2.6787195205688477,7.528661012649536,329.8162839412689,11622,arm64,0.6095693839582246,0.6325809828878175,0.07940050117705044,0.9731450640029943,0.2698621308852864,0.8938714030350291,FF_s1
kovasznay,FF,FF_s1,2,10,3,1237,,,1.0,3.0,0.01,200,40000,200,5000,213,203.0,0.323682963848114,8.180176973342896,269.2905979156494,10309,arm64,0.04660222485141752,0.058891843228194976,0.02885009393657827,0.36825838226883817,0.05132232029317283,0.22192059717317655,FF_s1
kovasznay,FF,FF_s1,2,10,4,1238,,,1.0,3.0,0.01,200,40000,200,5000,213,203.0,1.9542405605316162,7.851170063018799,302.9024381637573,11404,arm64,0.40552519155456196,0.4203535229108329,0.08477673389867518,1.0217662834958339,0.311578881109989,1.0115173517239315,FF_s1
