benchmark,key,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,adam_steps,lbfgs_maxiter,N_b,N_r,n_params,lpa_ref_params,l1_absolute,l2_relative,l1_absolute_c0,l2_relative_c0,l2_relative_sum,final_loss,time_adam,time_lbfgs,lbfgs_steps,machine,rms_r,mean_abs_r,max_abs_r,rms_r_x,mean_abs_r_x,max_abs_r_x,rms_r_y,mean_abs_r_y,max_abs_r_y,rms_r_xx,mean_abs_r_xx,max_abs_r_xx,rms_r_yy,mean_abs_r_yy,max_abs_r_yy,domain,P
helmholtz2d,LPA,LPA_P1_N30,2,10,0,1234,1.0,30.0,,,0.01,200,40000,200,10000,181,,0.24301899341601216,0.6226839441011691,0.24301899341601216,0.6226839441011696,0.6226839441011696,23.446203231811523,3.1887009143829346,96.0511999130249,7517,arm64,4.140133824995856,2.626124292612076,57.79372024536133,96.16224089894656,58.2597599029541,849.2738037109375,97.40191474301452,63.09611654281616,892.705078125,2374.699204636242,1487.0052947998047,14643.779296875,2444.721188090781,1657.3161163330078,13109.3818359375,,1
helmholtz2d,LPA,LPA_P1_N30,2,10,1,1235,1.0,30.0,,,0.01,200,40000,200,10000,181,,0.4064957763086654,0.9980361467665595,0.4064957763086654,0.998036146766559,0.998036146766559,140.4002685546875,3.364799976348877,126.73679900169373,9358,arm64,9.682573013089476,7.275379419326782,63.03322982788086,228.67612259037617,152.1362819671631,1383.6463623046875,238.62876093814634,167.4112377166748,2316.89990234375,5533.012244699988,3663.0274047851562,43831.8671875,7146.001784214723,4700.325378417969,86991.7421875,,1
helmholtz2d,LPA,LPA_P1_N30,2,10,2,1236,1.0,30.0,,,0.01,200,40000,200,10000,181,,0.3794877916221321,0.9569428187125952,0.3794877916221321,0.9569428187125932,0.9569428187125932,80.72638702392578,3.100066900253296,161.58004903793335,11795,arm64,7.5632431043496915,5.441343367099762,41.69453048706055,179.79574253358484,120.05523300170898,1376.3304443359375,215.24981398801486,129.72058010101318,1798.2335205078125,3883.5370797766304,2769.7984924316406,19772.361328125,5722.001092275324,3357.9764099121094,41441.30859375,,1
helmholtz2d,LPA,LPA_P1_N30,2,10,3,1237,1.0,30.0,,,0.01,200,40000,200,10000,181,,0.6068894364095929,1.469656037913008,0.6068894364095929,1.4696560379130024,1.4696560379130024,331.82574462890625,3.222726821899414,159.32726979255676,11220,arm64,15.615112166794301,11.651865601539612,77.78958129882812,339.81464386853605,245.4400291442871,1406.662353515625,277.09383986972716,209.1391658782959,1360.53515625,6692.640622355275,5068.670837402344,25276.34375,5396.595663008301,4178.818634033203,21817.6640625,,1
helmholtz2d,LPA,LPA_P1_N30,2,10,4,1238,1.0,30.0,,,0.01,200,40000,200,10000,181,,0.22335993699903683,0.5500143361994935,0.22335993699903683,0.5500143361994928,0.5500143361994928,49.06047439575195,3.9523041248321533,112.83917021751404,8310,arm64,6.029486600994303,4.586341738700867,29.86560821533203,145.0592997344642,100.88697338104248,1039.64013671875,132.42063928258244,91.48988437652588,1098.185791015625,3595.877813552624,2624.4302978515625,17621.326171875,3035.7900639701684,2284.8106384277344,19616.49609375,,1
helmholtz2d,LPA,LPA_P2_N30,2,10,0,1234,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.022315953804154413,0.05480377197129814,0.022315953804154413,0.054803771971298064,0.054803771971298064,4.351239204406738,4.994560956954956,160.75096082687378,9869,arm64,2.0931014721955687,1.3369932174682617,34.41051483154297,61.555635919682956,34.69899368286133,772.476318359375,60.56005715875183,29.379945755004883,1345.7650146484375,1493.6273014460469,902.5216217041016,10725.6455078125,1462.029625212841,753.6955108642578,21163.890625,,2
helmholtz2d,LPA,LPA_P2_N30,2,10,1,1235,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.11258181543605933,0.2961890995974484,0.11258181543605933,0.2961890995974486,0.2961890995974486,15.367048263549805,4.1727049350738525,187.24438405036926,11207,arm64,3.573876419766771,2.526425540447235,32.42767333984375,92.63982714384882,60.4082555770874,1129.087646484375,94.11992089498027,59.25659227371216,848.6478271484375,2382.353038489468,1607.6875305175781,18309.720703125,2220.3264962613043,1517.4876403808594,14256.0419921875,,2
helmholtz2d,LPA,LPA_P2_N30,2,10,2,1236,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.03501842581367569,0.08737996439969252,0.03501842581367569,0.08737996439969231,0.08737996439969231,4.348801136016846,4.211595773696899,137.380117893219,8080,arm64,1.6584125921184225,1.2167500406503677,13.521977424621582,54.931987255850785,32.908759117126465,731.9549560546875,51.29206796339873,32.301002979278564,772.8274536132812,1554.0770673457607,935.0388336181641,22351.765625,1485.8150172969042,893.6573715209961,16583.3515625,,2
helmholtz2d,LPA,LPA_P2_N30,2,10,3,1237,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.08801963707054947,0.21767949515209856,0.08801963707054947,0.21767949515209786,0.21767949515209786,9.000426292419434,4.774883031845093,94.06984496116638,5630,arm64,2.7336153010467052,1.885686382651329,27.047916412353516,71.61101870863367,46.97762155532837,620.336181640625,68.8813816997964,44.684993267059326,545.0250244140625,1690.752070085972,1194.159408569336,9933.9072265625,1645.6802924626643,1132.0752716064453,12322.64453125,,2
helmholtz2d,LPA,LPA_P2_N30,2,10,4,1238,2.0,30.0,,,0.01,200,40000,200,10000,181,,0.025355247116487057,0.06412650269951795,0.025355247116487057,0.06412650269951763,0.06412650269951763,3.223994255065918,4.5875818729400635,111.85389375686646,6638,arm64,1.6768667266789476,1.2642370760440826,11.533548355102539,49.61903295507163,33.29215359687805,482.6645202636719,52.63441249006042,33.864588260650635,472.98114013671875,1465.654354716691,916.7860412597656,14567.103515625,1395.1244176147875,896.0348968505859,12722.521484375,,2
