P,N_panel,l2_relative_mean,l1_absolute_mean,l2_relative_std,l1_absolute_std,l2_relative_median,l1_absolute_median,n_trials,success_rate_0.1
2,10,0.2477803106960851,0.0988800242251751,0.18050389600849603,0.07263142922454485,0.21444710907366177,0.08481992594182113,5,0.2
2,20,0.23875186587455294,0.09691268038030536,0.09164699993837583,0.037327471579518996,0.22577477752660874,0.09082131129219877,5,0.0
2,30,0.19962799578310336,0.0802237660429826,0.07659473105836098,0.030601570002202497,0.21770941938596033,0.08625664263985104,5,0.2
2,40,0.25853214278393455,0.10316767132136154,0.2673801393667191,0.10516910585020033,0.17726707115421506,0.07232660911067589,5,0.4
3,10,0.7941225957913358,0.3282486476268906,0.9181443499100297,0.38295437593379344,0.23623089077153306,0.09256162479835339,5,0.2
3,20,0.10049550920772851,0.04024915281370364,0.06428539485467272,0.025688727087130537,0.08826882510571948,0.0350754401506384,5,0.6
3,30,0.05252092041049115,0.021028392443740385,0.028059707599733908,0.011009050810992922,0.06703543711218347,0.026917345637804017,5,1.0
3,40,0.21499237169378854,0.08700179489453369,0.16114303124918833,0.06541498252001095,0.18363048184756078,0.07426983187823213,5,0.4
4,10,0.07344769653142122,0.02938898278914855,0.04775009194361601,0.018701844521028608,0.05072886680407933,0.020797835586233986,5,0.8
4,20,0.4861412327744671,0.19990455872468726,0.6808512509022487,0.2853173603037398,0.18439600289407782,0.07311438108019093,5,0.4
4,30,0.46101251402406807,0.1916831795813469,0.8850061346700477,0.3709442195193013,0.09115442628699404,0.03604723742138909,5,0.8
4,40,0.8884273646622894,0.3696555313491304,1.1117483365061027,0.46434745347862283,0.10530086415078252,0.04354002295691166,5,0.4
5,10,0.05430461229288612,0.021907686673122328,0.022512001338598552,0.009379759181978737,0.051720103400915166,0.02128381884367737,5,1.0
5,20,0.15126201549273738,0.061342981272227357,0.08206832799909917,0.03364971249544584,0.1470561440227187,0.05829512682559683,5,0.2
5,30,0.07780802387255473,0.030904764445859167,0.06548484811326898,0.026381636204790854,0.04040728629234964,0.015562498958016846,5,0.6
5,40,0.4620069359621629,0.1926408469285196,0.8925351668034738,0.3742322704139283,0.0423805319207735,0.016957754477355497,5,0.6
6,10,0.20487628754889023,0.08393787731333549,0.38388829611138503,0.15786541001942556,0.03364322644323937,0.013578935563982352,5,0.8
6,20,0.6631267326388668,0.2756273072477315,0.9917592423259035,0.41465578240999845,0.43408904518541774,0.1778209487883944,5,0.4
6,30,0.6627286655591532,0.27597291141528085,0.9532551621421107,0.3989518490612778,0.12602427115594536,0.050942523503820246,10,0.5
6,40,0.5648330425567526,0.23361552806748978,0.5946251444063584,0.24664274206675676,0.3812874393907143,0.15701545799950994,5,0.4
