# Title: Per-seed results for every reported PINN configuration
# Description: One row per training run behind Tables 1-3 and the order, panel-count and sensitivity studies: benchmark, architecture, model key, seed, hyperparameters, relative L2 and absolute L1 errors (component-wise for Kovasznay), L-BFGS iteration count and final loss. No run is excluded; table statistics are computed over exactly these rows.
# Note: seed = 1234 + trial; key_id encodes the model and its hyperparameters
# Rows: 455
experiment,benchmark,key_id,nh,nn,trial,seed,lpa_order,lpa_panels,ff_sigma,ff_features,lr,N_r,N_b,n_params,l2_relative,l1_absolute,lbfgs_steps,final_loss,l2_relative_u,l2_relative_v,l2_relative_p,l1_absolute_u,l1_absolute_v,l1_absolute_p,P,rms_r,rms_r_xx,N_panel,dof
ff_baseline,helmholtz2d,FF_s10,2,10,0,1234,,,10.0,3.0,0.01,10000,200,191,1.000071911266456,0.3973978977015681,131,6223.88916015625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,1,1235,,,10.0,3.0,0.01,10000,200,191,1.0002839440931113,0.3976807734059394,3705,6204.58251953125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,2,1236,,,10.0,3.0,0.01,10000,200,191,1.000164734542204,0.3975388412458617,4670,6034.328125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,3,1237,,,10.0,3.0,0.01,10000,200,191,1.0000334188364748,0.3973496742610459,3890,6164.85009765625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,4,1238,,,10.0,3.0,0.01,10000,200,191,1.000000161966354,0.3971615082785943,7124,6158.9677734375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,5,1239,,,10.0,3.0,0.01,10000,200,191,1.0000418410664016,0.3973373447278716,1723,6113.1259765625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,6,1240,,,10.0,3.0,0.01,10000,200,191,1.000031927573725,0.3973141468689958,3791,5983.904296875,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,7,1241,,,10.0,3.0,0.01,10000,200,191,1.0000444040946797,0.3973348953893648,3729,6158.48681640625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,8,1242,,,10.0,3.0,0.01,10000,200,191,1.000045949114332,0.3973520292192544,3457,6079.5478515625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s10,2,10,9,1243,,,10.0,3.0,0.01,10000,200,191,1.0000323940273586,0.3973131077347555,363,6268.8037109375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,0,1234,,,1.0,3.0,0.01,10000,200,191,1.0235395179669289,0.4177949385193387,8279,5451.884765625,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,1,1235,,,1.0,3.0,0.01,10000,200,191,0.8161345424952761,0.3356002913565291,8360,2606.3037109375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,2,1236,,,1.0,3.0,0.01,10000,200,191,1.091157541711118,0.439085125601285,6682,5349.583984375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,3,1237,,,1.0,3.0,0.01,10000,200,191,1.6612926503239305,0.680059322715927,15000,222.060302734375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,4,1238,,,1.0,3.0,0.01,10000,200,191,1.421568795518703,0.5777417644697022,8941,1907.33203125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,5,1239,,,1.0,3.0,0.01,10000,200,191,1.0570785544645978,0.402131517040586,16124,2564.757568359375,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,6,1240,,,1.0,3.0,0.01,10000,200,191,1.4746229771468338,0.5979467790174158,4978,4368.67578125,,,,,,,,,,,
ff_baseline,helmholtz2d,FF_s1,2,10,7,1241,,,1.0,3.0,0.01,10000,200,191,0.8011914266423322,0.3392556547442594,7461,2616.09521484375,,,,,,,,,,,
