# Title: Paired interval estimates for the operator-learning comparison
# Description: Baseline-minus-proposed differences at each width over the five paired seeds, with both a paired bootstrap 95% interval and a Student-t 95% interval, for the reference Reynolds number and for the sweep median.
# Note: the two interval methods disagree at n = 5, so the manuscript reports these comparisons descriptively rather than as significance claims
# Rows: 16
width,metric,n,mean_diff_van_minus_lpa,boot_ci95_lo,boot_ci95_hi,boot_includes_zero,t_ci95_lo,t_ci95_hi,t_includes_zero
8,sweep_median_l2_u,5,0.0304558187723159,0.0030014730989933,0.0679084094241261,False,-0.0221309014215465,0.0830425389661785,True
8,sweep_median_l2_v,5,0.2016661733388901,0.0773091658949852,0.3595135048031807,False,-0.0257762594070968,0.429108606084877,True
8,l2_u_ref,5,0.0165091704585809,-0.012051278070192,0.0495660535137984,True,-0.0323214940853786,0.0653398350025406,True
8,l2_v_ref,5,0.1503734596246054,0.0596663174675268,0.2589036551003399,False,-0.007465698020383,0.3082126172695938,True
16,sweep_median_l2_u,5,0.0038812603801488,-0.003251951187849,0.014003887400031,True,-0.0102760089208944,0.0180385296811922,True
16,sweep_median_l2_v,5,0.0421332821249961,-0.0731614619493484,0.1461626663804054,True,-0.1335534925290266,0.2178200567790189,True
16,l2_u_ref,5,-0.0109598291659767,-0.0391715843414733,0.0150326488928847,True,-0.0560368440871437,0.0341171857551902,True
16,l2_v_ref,5,0.0382804274229123,-0.0276748075853991,0.1042356624312239,True,-0.0707999938742988,0.1473608487201236,True
32,sweep_median_l2_u,5,-0.0024384887889027,-0.0120681293308734,0.0060086254030466,True,-0.017374160697877,0.0124971831200715,True
32,sweep_median_l2_v,5,-0.004344530403614,-0.0934076845645904,0.105008028447628,True,-0.1592010770584183,0.1505120162511902,True
32,l2_u_ref,5,-0.0298521453420285,-0.0503045489907984,-0.0093997416932586,False,-0.062871956665117,0.0031676659810598,True
32,l2_v_ref,5,-0.0095427829458897,-0.0754143804659725,0.0483223995725518,True,-0.107209883472893,0.0881243175811136,True
64,sweep_median_l2_u,5,-0.0077989613637328,-0.0223689736798405,0.00628577247262,True,-0.0312343488952989,0.0156364261678332,True
64,sweep_median_l2_v,5,0.121572345495224,-0.0215417057275772,0.2823598533868789,True,-0.1174809560918191,0.3606256470822672,True
64,l2_u_ref,5,-0.0348283922362639,-0.0706686724879154,0.0010118880153874,True,-0.09079239403164,0.021135609559112,True
64,l2_v_ref,5,0.0675268067045874,0.0082803565184183,0.1390105118237696,False,-0.0389168646551773,0.1739704780643521,True
