# Title: Per-seed results of the PI-DeepONet re-run
# Description: One row per operator-network training run: architecture, latent and head widths, Legendre order and panel count, seed, parameter count, errors at the reference Reynolds number and mean/median errors over the Re = 1-199 sweep, and training time.
# Note: five seeds per width per model; all rows are included in the reported statistics
# Rows: 40
benchmark,key_id,nh,nn,use_lpa,lpa_order,lpa_panels,latent_dim,head_width,epochs,lr,n_int,n_b,seed,trial,n_params,l2_u_ref,l2_v_ref,l2_p_ref,sweep_median_l2_u,sweep_median_l2_v,sweep_median_l2_p,sweep_mean_l2_u,sweep_mean_l2_v,sweep_mean_l2_p,time_train
kovasznay_pideeponet,LPA_K3_N16,3,16,True,3.0,16.0,64,16,5000,0.002,10000,200,1234,0,4691,0.0206527745846987,0.1558527919242343,0.0785491535337274,0.0182346627116203,0.1575016677379608,0.0346126705408096,0.0345125496387481,0.2155901491641998,0.0715317204594612,516.780543088913
kovasznay_pideeponet,LPA_K3_N16,3,16,True,3.0,16.0,64,16,5000,0.002,10000,200,1235,1,4691,0.034298196928206,0.1353565048349721,0.0523821957280954,0.0117232836782932,0.1254531741142273,0.0279544554650783,0.0374654345214366,0.1750769466161728,0.0521453283727169,522.7660937309265
kovasznay_pideeponet,LPA_K3_N16,3,16,True,3.0,16.0,64,16,5000,0.002,10000,200,1236,2,4691,0.0164044149917976,0.1320326908170738,0.0564420924690741,0.0139238331466913,0.1228925064206123,0.0500514134764671,0.0355172045528888,0.1733777374029159,0.0843540057539939,510.3336260318756
kovasznay_pideeponet,LPA_K3_N16,3,16,True,3.0,16.0,64,16,5000,0.002,10000,200,1237,3,4691,0.1063519957207552,0.3112501715457695,0.1703763148699493,0.0366841815412044,0.3073490560054779,0.0934562683105468,0.139565110206604,0.42477947473526,0.1562615633010864,504.5054142475128
kovasznay_pideeponet,LPA_K3_N16,3,16,True,3.0,16.0,64,16,5000,0.002,10000,200,1238,4,4691,0.0566055031273344,0.2858547315267044,0.1271652798355186,0.0415672734379768,0.3277150988578796,0.0725117549300193,0.1240694895386695,0.5444096326828003,0.1506497859954834,469.7835841178894
kovasznay_pideeponet,VAN,3,16,False,,,64,16,5000,0.002,10000,200,1234,0,4435,0.0291097007876324,0.2328981829297295,0.1315015597876815,0.022034989669919,0.2953284382820129,0.0498985275626182,0.0425524339079856,0.328612357378006,0.0961598977446556,374.3553059101105
kovasznay_pideeponet,VAN,3,16,False,,,64,16,5000,0.002,10000,200,1235,1,4435,0.0616238213595386,0.2871893927400419,0.1361057723569156,0.0350166037678718,0.327643483877182,0.1911775767803192,0.0556542128324508,0.3587833642959595,0.2019634991884231,365.6081259250641
kovasznay_pideeponet,VAN,3,16,False,,,64,16,5000,0.002,10000,200,1236,2,4435,0.0200025581876887,0.1954544451520633,0.0754081998900044,0.009012272581458,0.1736716777086258,0.0701645389199256,0.0294373501092195,0.2355247437953949,0.0926980450749397,357.14379596710205
kovasznay_pideeponet,VAN,3,16,False,,,64,16,5000,0.002,10000,200,1237,3,4435,0.041850142481426,0.2677240537413314,0.0772560710043755,0.0375692471861839,0.288971334695816,0.1698401123285293,0.0466608591377735,0.351360946893692,0.1977306008338928,348.8570029735565
kovasznay_pideeponet,VAN,3,16,False,,,64,16,5000,0.002,10000,200,1238,4,4435,0.0269275167066225,0.22848295320015,0.0940325618229382,0.0379064232110977,0.1659629791975021,0.0697328895330429,0.0512239560484886,0.2321662008762359,0.0850855112075805,340.600460767746
