# Title: Fourier-feature baseline at two Adam warm-up learning rates
# Description: Relative L2 and absolute L1 statistics for the parameter-matched random Fourier feature baseline at warm-up rates 1e-2 and 1e-3 on all three benchmarks, showing that its failure on the oscillatory problem is not an artefact of the warm-up rate.
# Note: corresponds to results/ff_baseline/ff_supp_lr.png
# Rows: 18
benchmark,sigma,lr,l2_mean,l2_std,l1_mean,l1_std,n_trials
diffusion_reaction,1.0,0.001,0.6950029072832127,0.3792541965111453,0.3205752602572887,0.1765407310760572,5.0
diffusion_reaction,1.0,0.01,0.7192690568847597,0.3902060522664978,0.3331290225293696,0.1814049145762633,5.0
diffusion_reaction,5.0,0.001,1.0006777485337668,0.0004856463047715,0.4537370535479731,0.0004072552523301,5.0
diffusion_reaction,5.0,0.01,1.0007239278416769,0.0006131592486031,0.4537792096698804,0.000436342637542,5.0
diffusion_reaction,10.0,0.001,1.000765038764235,0.0008070473711892,0.4536968652070383,0.000395374230179,5.0
diffusion_reaction,10.0,0.01,1.000642145951349,0.0006804963543014,0.4536371346675307,0.0003633606607533,5.0
helmholtz2d,1.0,0.001,1.155995125366536,0.2173578742053622,0.47111116470072,0.0906889578830035,5.0
helmholtz2d,1.0,0.01,1.1262038150674478,0.292774692427987,0.4563236073339768,0.1192802265127072,10.0
helmholtz2d,5.0,0.001,0.999627243482648,0.0009854125403765,0.3974066865173735,0.0001634030299304,5.0
helmholtz2d,5.0,0.01,0.9773489479643191,0.071199277264705,0.3914277288198022,0.0187898736205765,10.0
helmholtz2d,10.0,0.001,1.0001077895677764,0.0001010091354097,0.3974210452684927,0.0001821837733245,5.0
helmholtz2d,10.0,0.01,1.0000750686581097,8.53744827569142e-05,0.3973780218833251,0.0001406659308305,10.0
kovasznay,1.0,0.001,0.4191738276192768,0.2293002601712206,0.4123681303813411,0.2243423728009334,5.0
kovasznay,1.0,0.01,0.3974303922293297,0.2172548556254287,0.3858281908205104,0.214267836275164,5.0
kovasznay,5.0,0.001,0.6491463751435106,0.0203872124607119,0.6318095064063158,0.0196157101286253,5.0
kovasznay,5.0,0.01,0.6491678466872404,0.0203640059005402,0.6318187015332735,0.0195820959990313,5.0
kovasznay,10.0,0.001,0.6503702601925064,0.0192372319040424,0.6326217679136695,0.018837660799695,5.0
kovasznay,10.0,0.01,0.6503524837818481,0.0192152147702171,0.6326037327613271,0.0188150998823758,5.0
