# Title: Fourier-feature baseline across frequency scales
# Description: Relative L2 and absolute L1 statistics for the fixed random Fourier feature baseline at sigma in {1, 5, 10} on all three benchmarks and all tested depths.
# Note: m = 3 frequency pairs, parameter-matched to the proposed layer
# Rows: 27
benchmark,nh,nn,sigma,l2_mean,l2_std,n_trials
helmholtz2d,2,10,1.0,1.1262038150674478,0.292774692427987,10
helmholtz2d,2,10,5.0,0.9773489479643191,0.071199277264705,10
helmholtz2d,2,10,10.0,1.0000750686581097,8.53744827569142e-05,10
helmholtz2d,3,10,1.0,1.287781799485655,0.4267390552975555,5
helmholtz2d,3,10,5.0,0.9995738088380224,0.0012554248398311,5
helmholtz2d,3,10,10.0,1.0000947435061769,9.077220219517726e-05,5
helmholtz2d,4,10,1.0,0.904376195080608,0.3693792115776982,5
helmholtz2d,4,10,5.0,0.9890539201744948,0.0239263573843348,5
helmholtz2d,4,10,10.0,1.0000873399360644,0.0001032130781689,5
diffusion_reaction,2,10,1.0,0.7192690568847597,0.3902060522664978,5
diffusion_reaction,2,10,5.0,1.0007239278416769,0.0006131592486031,5
diffusion_reaction,2,10,10.0,1.000642145951349,0.0006804963543014,5
diffusion_reaction,3,10,1.0,0.62680879139766,0.3676876850163726,5
diffusion_reaction,3,10,5.0,1.0007194300637643,0.0005988181618055,5
diffusion_reaction,3,10,10.0,1.0007408096198778,0.000794123862779,5
diffusion_reaction,4,10,1.0,0.5719054175568241,0.3711611313051408,5
diffusion_reaction,4,10,5.0,1.0007819262930266,0.0006363116924118,5
diffusion_reaction,4,10,10.0,1.0008216169904445,0.0009364157674464,5
kovasznay,2,10,1.0,0.3974303922293297,0.2172548556254287,5
kovasznay,2,10,5.0,0.6491678466872404,0.0203640059005402,5
kovasznay,2,10,10.0,0.6503524837818481,0.0192152147702171,5
kovasznay,3,10,1.0,0.3552778504803481,0.212119150771103,5
kovasznay,3,10,5.0,0.6491775668137422,0.0203368517103462,5
kovasznay,3,10,10.0,0.6503758629220627,0.0192511902918396,5
kovasznay,4,10,1.0,0.3454476201048904,0.2029906420814502,5
kovasznay,4,10,5.0,0.6491831749325917,0.0204094874151171,5
kovasznay,4,10,10.0,0.6503459122796384,0.0192622034504596,5
