# Title: Kovasznay collocation-budget robustness check
# Description: Component-wise errors for the baseline and the proposed layer at the canonical budget N_r = 5000 and at N_r = 10000, confirming that the conclusion does not depend on the budget.
# Note: the original submission trained the baseline at 5000 and the proposed layer at 10000; both are unified here
# Rows: 10
model,l2_relative_u_mean,l2_relative_u_std,l2_relative_u_median,n_trials,N_r
R,0.002739657424516,0.000729988721371,0.002482592633344,5,5000
R,0.0051471061805289,0.0026322293594486,0.0049157536715445,5,10000
FF_s1,0.3974303922293297,0.2172548556254287,0.4203535229108329,5,5000
FF_s1,0.3895631687132213,0.219732748057464,0.4472837345498519,5,10000
FF_s5,0.6491678466872404,0.0203640059005402,0.6369474216289709,5,5000
FF_s5,0.6491196795618064,0.0202674476418993,0.6369422351488402,5,10000
FF_s10,0.6503524837818481,0.0192152147702171,0.6384555003705155,5,5000
FF_s10,0.650372769021977,0.0192608619351152,0.6385031880062836,5,10000
LPA,0.0031237398298605,0.0009586427899546,0.0032453212310872,5,5000
LPA,0.0036722474793887,0.0022548921594513,0.002617976908793,5,10000
